#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   38   59 -68.92   1.37   .143   .050   .000
   38   60 -67.20   1.41   .155   .054  -.002
   38   61 -63.13   1.36   .163   .047  -.006
   38   62 -61.06   1.22   .174   .046  -.011
   38   63 -56.57   1.12   .183   .037  -.022
   38   64 -53.97   1.01   .188   .031  -.021
   38   65 -48.92   1.02   .188   .022  -.019
   38   66 -45.69   1.07   .192   .011  -.022
   38   67 -40.18   1.11   .192   .003  -.019
   38   68 -36.46   1.20   .191  -.010  -.020
   38   69 -30.44   1.34   .179  -.029  -.018
   38   70 -26.22   1.50   .175  -.030  -.015
   38   71 -19.89   1.56   .160  -.039  -.009
   38   72 -15.38   1.60   .146  -.036  -.012
   38   73  -8.75   1.60   .134  -.041  -.004
   38   74  -4.03   1.45   .116  -.034  -.003
   38   75   2.59   1.08   .095  -.032  -.003
   38   76   7.31    .56   .080  -.025  -.003
   38   77  14.03   -.05   .064  -.022  -.003
   38   78  18.94   -.74   .055  -.026   .002
   38   79  25.78  -1.54   .041  -.020   .003
   38   80  30.78  -2.48   .025  -.009   .000
   38   81  37.61  -3.61   .010  0.000  -.003
   38   82  42.70  -4.77   .004  0.000   .000
   38   83  51.04  -4.68   .004  0.000   .000
   38   84  58.43  -3.87   .010  0.000  -.003
   38   85  67.81  -3.03   .004  0.000   .000
   38   86  75.50  -2.22   .032   .009   .000
   38   87  84.98  -1.54   .042   .011  -.001
   38   88  92.80   -.89   .043   .002  -.002
   38   89 102.47   -.28   .047  -.006  -.004
   38   90 110.57    .38   .043  -.015  -.002
   38   91 120.51   1.01   .035  -.016   .000
   38   92 128.56   1.36   .111   .063   .011
   38   93 138.29   1.53   .114   .065   .010
   38   94 146.42   1.70   .125   .061   .006
   38   95 156.31   1.81   .133   .060   .003
   38   96 164.60   1.89   .139   .058  -.004
   38   97 174.67   1.95   .143   .052  -.005
   38   98 183.17   2.01   .149   .048  -.010
   38   99 193.40   2.02   .155   .040  -.017
   38  100 202.09   2.04   .158   .035  -.021
   38  101 212.54   2.07   .159   .026  -.020
   38  102 221.38   2.03   .162   .019  -.022
   38  103 232.00   2.03   .161   .011  -.025
   38  104 241.11   2.04   .162   .004  -.024
   39   30  22.11    .26   .055   .007  -.002
   39   31  12.87    .77   .100   .035   .001
   39   32   1.63    .95   .143   .034  -.005
   39   33  -6.78   1.01   .159   .034  -.003
   39   34 -16.93    .99   .175   .028  -.010
   39   35 -24.32    .88   .187   .026  -.010
   39   36 -33.50    .61   .204   .022  -.015
   39   37 -40.02    .26   .217   .018  -.018
   39   38 -48.09   -.02   .208   .011  -.017
   39   39 -53.20   -.33   .216  -.004  -.027
   39   40 -59.23   -.22   .210  -.009  -.021
   39   41 -62.30   -.02   .207  -.010  -.020
   39   42 -66.95    .18   .199  -.011  -.010
   39   43 -69.20    .34   .197  -.014  -.006
   39   44 -73.28    .22   .125  -.023  -.009
   39   45 -75.26   -.16   .105  -.022  -.008
   39   46 -78.86   -.64   .087  -.023  -.003
   39   47 -80.26  -1.20   .065  -.025   .000
   39   48 -83.56  -2.15   .030  -.001  -.008
   39   49 -84.79  -3.27   .019  -.006   .001
   39   50 -87.66  -4.54   .006  0.000   .000
   39   51 -86.23  -3.66   .018   .004   .000
   39   52 -86.33  -2.86   .033   .009  -.002
   39   53 -84.39  -2.13   .030  -.001  -.008
   39   54 -83.94  -1.43   .025  -.001  -.002
   39   55 -81.49   -.78   .018  -.001  -.001
   39   56 -80.53   -.20   .006  0.000   .000
   39   57 -77.21    .74   .020   .004  0.000
   39   58 -75.98   1.00   .130   .045  -.001
   39   59 -72.88   1.19   .142   .042  -.007
   39   60 -71.30   1.24   .153   .044  -.008
   39   61 -67.86   1.25   .162   .044  -.009
   39   62 -65.89   1.15   .167   .039  -.010
   39   63 -62.12   1.02   .175   .032  -.016
   39   64 -59.71    .85   .180   .023  -.020
   39   65 -55.42    .76   .185   .016  -.024
   39   66 -52.39    .75   .187   .009  -.019
   39   67 -47.54    .78   .190  0.000  -.019
   39   68 -43.96    .85   .190  -.021  -.028
   39   69 -38.59    .99   .186  -.026  -.018
   39   70 -34.44   1.20   .181  -.034  -.016
   39   71 -28.69   1.31   .158  -.036  -.014
   39   72 -24.26   1.38   .147  -.040  -.007
   39   73 -18.27   1.35   .128  -.046  -.004
   39   74 -13.65   1.22   .112  -.039  -.005
   39   75  -7.65    .84   .095  -.032  -.004
   39   76  -2.98    .38   .079  -.025  -.003
   39   77   3.18   -.19   .068  -.025   .000
   39   78   8.03   -.83   .052  -.022   .000
   39   79  14.26  -1.66   .038  -.016   .000
   39   80  19.10  -2.65   .023  -.005  -.002
   39   81  25.39  -3.74   .013  -.006   .000
   39   82  30.40  -4.91   .004  0.000   .000
   39   83  38.52  -4.47   .004  0.000   .000
   39   84  45.81  -3.66   .012  0.000  -.001
   39   85  54.60  -2.85   .024   .008   .000
   39   86  62.12  -2.11   .036   .014   .000
   39   87  71.08  -1.42   .042   .010  0.000
   39   88  78.81   -.77   .047   .003  -.005
   39   89  88.02   -.09   .047  -.005  -.005
   39   90  96.05    .59   .040  -.010  -.004
   39   91 105.30   1.05   .102   .058   .008
   39   92 113.16   1.28   .110   .058   .005
   39   93 122.24   1.33   .120   .060   .004
   39   94 130.20   1.41   .127   .060   .000
   39   95 139.57   1.50   .133   .059  -.003
   39   96 147.80   1.60   .139   .055  -.006
   39   97 157.33   1.62   .145   .050  -.008
   39   98 165.74   1.66   .148   .046  -.012
   39   99 175.45   1.65   .154   .041  -.018
   39  100 184.07   1.67   .158   .033  -.019
   39  101 194.05   1.70   .161   .030  -.024
   39  102 202.86   1.69   .162   .020  -.023
   39  103 213.10   1.79   .160   .011  -.023
   39  104 222.13   1.78   .162   .005  -.025
   39  105 232.47   1.78   .164  -.002  -.022
   39  106 241.67   1.74   .163  -.013  -.024
   39  107 252.31   1.85   .160  -.020  -.021
   40   32  10.34    .76   .128   .042  -.008
   40   33   1.75    .86   .147   .037  -.019
   40   34  -9.33    .83   .160   .030  -.018
   40   35 -16.92    .74   .176   .024  -.025
   40   36 -26.86    .61   .199   .009  -.019
   40   37 -33.49    .36   .205   .009  -.016
   40   38 -42.50    .02   .217   .002  -.018
   40   39 -48.14   -.29   .208  -.009  -.019
   40   40 -56.04   -.59   .215  -.023  -.025
   40   41 -59.36   -.45   .210  -.027  -.019
   40   42 -64.83   -.21   .204  -.028  -.016
   40   43 -67.20    .02   .194  -.025  -.005
   40   44 -72.02   -.01   .125  -.023  -.011
   40   45 -74.14   -.36   .100  -.011  -.015
   40   46 -78.52   -.79   .085  -.021  -.008
   40   47 -80.04  -1.30   .060  -.016  -.004
   40   48 -84.05  -2.17   .037  -.009  -.003
   40   49 -85.40  -3.23   .012  -.005   .000
   40   50 -89.10  -4.55   .006  0.000   .000
   40   51 -87.77  -3.62   .008  0.000   .000
   40   52 -88.67  -2.86   .038   .014  -.001
   40   53 -86.89  -2.13   .042  0.000  -.002
   40   54 -87.12  -1.36   .034  -.006  -.001
   40   55 -84.80   -.69   .010  0.000  -.003
   40   56 -84.59   -.13   .006  0.000   .000
   40   57 -81.75    .47   .115   .040   .000
   40   58 -81.21    .76   .124   .035  -.002
   40   59 -78.20    .99   .136   .038  -.005
   40   60 -77.28   1.08   .147   .037  -.011
   40   61 -73.96   1.10   .160   .035  -.015
   40   62 -72.67   1.02   .168   .036  -.013
   40   63 -69.04    .86   .175   .029  -.017
   40   64 -67.34    .67   .180   .019  -.023
   40   65 -63.16    .59   .181   .011  -.021
   40   66 -60.94    .42   .182  0.000  -.022
   40   67 -56.32    .33   .188  -.007  -.026
   40   68 -53.41    .40   .190  -.015  -.022
   40   69 -48.07    .60   .190  -.020  -.018
   40   70 -44.59    .78   .188  -.034  -.014
   40   71 -38.85    .98   .170  -.040  -.009
   40   72 -35.11   1.01   .138  -.040  -.011
   40   73 -29.18   1.01   .129  -.046  -.004
   40   74 -25.22    .84   .111  -.038  -.004
   40   75 -19.23    .54   .095  -.033  -.004
   40   76 -15.09    .15   .082  -.030  -.004
   40   77  -8.98   -.38   .069  -.027  -.002
   40   78  -4.70   -.99   .052  -.022  -.001
   40   79   1.47  -1.80   .041  -.019   .001
   40   80   5.79  -2.74   .025  -.011   .000
   40   81  12.01  -3.81   .015  -.007   .001
   40   82  16.44  -4.98   .004  0.000   .000
   40   83  24.78  -4.25   .004  0.000   .000
   40   84  31.49  -3.46   .012  0.000  -.002
   40   85  40.15  -2.71   .034   .012   .000
   40   86  47.00  -2.08   .044   .016   .000
   40   87  55.89  -1.39   .047   .007  -.003
   40   88  63.08   -.73   .051  -.001  -.006
   40   89  72.27   0.00   .048  -.006  -.007
   40   90  79.67    .57   .092   .050   .006
   40   91  88.73    .91   .100   .051   .004
   40   92  96.04   1.12   .111   .052   .002
   40   93 105.17   1.27   .120   .055  0.000
   40   94 112.63   1.37   .125   .054  -.003
   40   95 121.83   1.35   .134   .055  -.005
   40   96 129.45   1.35   .140   .054  -.010
   40   97 138.89   1.34   .145   .052  -.013
   40   98 146.78   1.36   .147   .046  -.015
   40   99 156.49   1.39   .151   .038  -.015
   40  100 164.51   1.30   .158   .033  -.022
   40  101 174.36   1.26   .160   .025  -.025
   40  102 182.68   1.25   .163   .020  -.026
   40  103 192.89   1.35   .161   .011  -.024
   40  104 201.47   1.38   .163   .004  -.025
   40  105 211.71   1.32   .165  -.005  -.027
   40  106 220.59   1.42   .163  -.013  -.025
   40  107 231.14   1.49   .161  -.021  -.021
   40  108 240.23   1.60   .159  -.030  -.019
   40  109 250.98   1.67   .152  -.033  -.014
   41   32  22.24    .55   .125   .037  -.008
   41   33  12.75    .64   .141   .029  -.015
   41   34   1.57    .71   .164   .010  -.016
   41   35  -6.93    .59   .167   .012  -.022
   41   36 -17.04    .50   .179   .008  -.021
   41   37 -24.42    .36   .187  0.000  -.018
   41   38 -33.52    .13   .211   .001  -.016
   41   39 -40.05   -.21   .206  -.012  -.018
   41   40 -48.17   -.55   .210  -.027  -.019
   41   41 -53.24   -.75   .206  -.042  -.016
   41   42 -59.28   -.57   .200  -.042  -.014
   41   43 -62.47   -.35   .186  -.036  -.009
   41   44 -67.42   -.32   .120  -.021  -.010
   41   45 -70.37   -.69   .103  -.018  -.009
   41   46 -74.86  -1.06   .087  -.022  -.007
   41   47 -77.10  -1.50   .066  -.022  -.002
   41   48 -81.17  -2.26   .041  -.015  -.003
   41   49 -83.17  -3.21   .020  -.006  -.001
   41   50 -86.88  -4.36   .006  0.000   .000
   41   51 -86.45  -3.57   .022   .012   .000
   41   52 -87.59  -2.89   .039   .016  -.002
   41   53 -86.59  -2.19   .051  0.000  -.011
   41   54 -86.98  -1.43   .068   .022  -.002
   41   55 -85.42   -.79   .086   .034   .001
   41   56 -85.42   -.29   .102   .036  -.001
   41   57 -83.46    .15   .111   .031  -.003
   41   58 -83.02    .48   .123   .029  -.008
   41   59 -80.70    .73   .134   .026  -.013
   41   60 -79.85    .89   .145   .026  -.016
   41   61 -77.18    .96   .156   .029  -.015
   41   62 -75.96    .94   .162   .024  -.016
   41   63 -72.97    .81   .172   .027  -.014
   41   64 -71.40    .63   .181   .019  -.023
   41   65 -67.99    .44   .179   .007  -.021
   41   66 -65.97    .20   .182  -.002  -.024
   41   67 -62.23   -.11   .185  -.014  -.026
   41   68 -59.45   -.06   .182  -.024  -.028
   41   69 -54.82    .07   .188  -.028  -.020
   41   70 -51.45    .26   .187  -.032  -.016
   41   71 -46.33    .48   .166  -.034  -.011
   41   72 -42.66    .54   .136  -.038  -.011
   41   73 -37.34    .56   .130  -.048  -.004
   41   74 -33.47    .40   .112  -.040  -.006
   41   75 -28.02    .16   .099  -.038  -.003
   41   76 -23.94   -.16   .086  -.037  0.000
   41   77 -18.41   -.68   .071  -.032   .001
   41   78 -14.18  -1.25   .053  -.023  -.001
   41   79  -8.57  -2.03   .041  -.019   .000
   41   80  -4.26  -2.88   .027  -.013   .000
   41   81   1.41  -3.93   .015  -.007   .001
   41   82   5.78  -5.05   .004  0.000   .000
   41   83  13.65  -4.24   .013   .007  -.001
   41   84  20.26  -3.45   .026   .015   .002
   41   85  28.29  -2.78   .039   .021   .001
   41   86  35.06  -2.15   .046   .017  -.003
   41   87  43.36  -1.49   .052   .008  -.007
   41   88  50.44   -.86   .055  0.000  -.010
   41   89  59.11   -.11   .079   .038   .002
   41   90  66.27    .31   .090   .046   .001
   41   91  74.87    .70   .099   .048   .001
   41   92  82.15    .97   .109   .048  -.003
   41   93  90.83   1.19   .117   .049  -.002
   41   94  98.26   1.33   .125   .052  -.003
   41   95 106.95   1.31   .132   .050  -.008
   41   96 114.51   1.32   .139   .049  -.010
   41   97 123.41   1.27   .143   .041  -.014
   41   98 131.12   1.19   .151   .044  -.016
   41   99 140.23   1.12   .154   .037  -.021
   41  100 148.20   1.04   .159   .035  -.027
   41  101 157.59   1.03   .159   .023  -.024
   41  102 165.81    .97   .160   .017  -.024
   41  103 175.31    .86   .163   .010  -.029
   41  104 183.86    .91   .161   .001  -.025
   41  105 193.79   1.01   .160  -.004  -.021
   41  106 202.47    .98   .166  -.009  -.026
   41  107 212.56   1.04   .161  -.022  -.022
   41  108 221.66   1.22   .163  -.025  -.021
   41  109 231.99   1.32   .152  -.033  -.016
   42   34  10.38    .45   .151   .012  -.023
   42   35   1.78    .43   .161   .001  -.023
   42   36  -9.21    .35   .169  -.007  -.021
   42   37 -16.71    .29   .172  -.017  -.013
   42   38 -26.56    .17   .190  -.011  -.010
   42   39 -33.22   -.10   .203  -.012  -.014
   42   40 -42.18   -.42   .204  -.029  -.016
   42   41 -47.84   -.69   .200  -.040  -.015
   42   42 -55.67   -.91   .188  -.047  -.014
   42   43 -59.14   -.79   .173  -.038  -.009
   42   44 -64.93   -.77   .138  -.018  -.013
   42   45 -68.03  -1.13   .104  -.019  -.011
   42   46 -73.29  -1.46   .086  -.019  -.009
   42   47 -75.61  -1.82   .067  -.023  -.003
   42   48 -80.34  -2.44   .045  -.020  0.000
   42   49 -82.39  -3.28   .024  -.012   .003
   42   50 -86.80  -4.37   .006  0.000   .000
   42   51 -86.50  -3.56   .022   .012   .000
   42   52 -88.52  -2.99   .040   .017  -.004
   42   53 -87.71  -2.33   .050  -.001  -.011
   42   54 -88.93  -1.66   .073   .030  -.002
   42   55 -87.66  -1.17   .088   .035  -.003
   42   56 -88.38   -.66   .096   .029  -.003
   42   57 -86.52   -.18   .108   .027  -.005
   42   58 -86.77    .19   .120   .023  -.008
   42   59 -84.51    .49   .126   .018  -.010
   42   60 -84.33    .69   .139   .016  -.016
   42   61 -81.70    .84   .142   .010  -.013
   42   62 -81.13    .86   .153   .008  -.021
   42   63 -78.18    .81   .166   .021  -.013
   42   64 -77.29    .62   .176   .016  -.018
   42   65 -74.01    .42   .180   .008  -.022
   42   66 -72.65    .19   .179  -.005  -.019
   42   67 -69.02   -.13   .183  -.016  -.026
   42   68 -67.15   -.33   .178  -.030  -.026
   42   69 -62.93   -.50   .177  -.038  -.022
   42   70 -60.23   -.35   .176  -.042  -.015
   42   71 -55.20   -.12   .171  -.041  -.009
   42   72 -52.14   -.04   .147  -.039  -.009
   42   73 -46.89   0.00   .129  -.047  -.004
   42   74 -43.61   -.14   .115  -.045  -.002
   42   75 -38.20   -.31   .100  -.040  -.003
   42   76 -34.73   -.65   .087  -.037   .002
   42   77 -29.21  -1.09   .071  -.032   .000
   42   78 -25.54  -1.63   .056  -.026   .000
   42   79 -19.98  -2.37   .043  -.024   .004
   42   80 -16.20  -3.16   .030  -.018   .005
   42   81 -10.57  -4.18   .015  -.007  0.000
   42   82  -6.78  -5.31   .004  0.000   .000
   42   83   1.11  -4.40   .014   .008   .002
   42   84   7.17  -3.59   .026   .015   .001
   42   85  15.10  -2.95   .039   .021   .000
   42   86  21.32  -2.32   .047   .019  -.006
   42   87  29.51  -1.70   .054   .013  -.014
   42   88  36.08  -1.04   .057  -.001  -.015
   42   89  44.56   -.41   .082   .037   .000
   42   90  51.21    .03   .087   .038  -.004
   42   91  59.78    .47   .097   .040  -.005
   42   92  66.60    .79   .107   .044  -.005
   42   93  75.25   1.05   .114   .042  -.007
   42   94  82.18   1.20   .123   .045  -.006
   42   95  90.91   1.29   .130   .045  -.011
   42   96  97.98   1.32   .137   .043  -.015
   42   97 106.80   1.24   .143   .042  -.017
   42   98 114.05   1.20   .151   .044  -.017
   42   99 123.10   1.12   .154   .037  -.020
   42  100 130.52    .99   .157   .029  -.021
   42  101 139.78    .90   .159   .024  -.024
   42  102 147.47    .80   .161   .017  -.024
   42  103 157.01    .77   .162   .009  -.026
   42  104 164.91    .65   .163   .002  -.025
   42  105 174.68    .64   .160  -.010  -.024
   42  106 182.76    .48   .162  -.013  -.025
   42  107 192.77    .50   .161  -.022  -.023
   42  108 201.42    .70   .160  -.026  -.022
   42  109 211.77    .87   .152  -.034  -.016
   42  110 220.55    .98   .151  -.044  -.009
   42  111 231.10   1.15   .140  -.040  -.010
   42  112 240.00   1.20   .133  -.043  -.006
   42  113 250.64   1.28   .126  -.045  -.003
   42  114 259.62   1.19   .119  -.045  -.002
   43   35  12.90    .18   .150  -.009  -.018
   43   36   1.80    .18   .157  -.018  -.015
   43   37  -6.49    .19   .161  -.028  -.008
   43   38 -16.42    .18   .172  -.028  -.006
   43   39 -23.82   0.00   .195  -.015   .000
   43   40 -32.92   -.28   .196  -.026  -.005
   43   41 -39.42   -.57   .196  -.045  -.008
   43   42 -47.53   -.89   .172  -.039  -.009
   43   43 -52.89  -1.31   .156  -.035  -.013
   43   44 -59.29  -1.41   .129  -.025  -.013
   43   45 -63.10  -1.68   .104  -.019  -.012
   43   46 -68.46  -1.95   .086  -.021  -.010
   43   47 -71.50  -2.25   .070  -.026  -.002
   43   48 -76.28  -2.75   .046  -.022   .000
   43   49 -78.98  -3.48   .024  -.012   .003
   43   50 -83.54  -4.55   .006  0.000   .000
   43   51 -83.97  -3.73   .022   .012   .000
   43   52 -86.14  -3.14   .040   .017  -.004
   43   53 -86.13  -2.55   .050  0.000  -.011
   43   54 -87.60  -1.98   .075   .028   .000
   43   55 -87.02  -1.46   .084   .023  -.004
   43   56 -87.96  -1.02   .095   .020  -.009
   43   57 -86.85   -.58   .104   .017  -.014
   43   58 -87.19   -.17   .112   .009  -.014
   43   59 -85.57    .19   .117   .004  -.014
   43   60 -85.47    .45   .131  -.001  -.023
   43   61 -83.50    .62   .136  -.006  -.022
   43   62 -82.88    .83   .150   .010  -.011
   43   63 -80.58    .80   .162   .013  -.012
   43   64 -79.77    .66   .171   .015  -.011
   43   65 -77.14    .47   .173   .005  -.013
   43   66 -75.91    .23   .178  -.005  -.020
   43   67 -72.87   -.03   .178  -.017  -.021
   43   68 -71.11   -.22   .178  -.027  -.016
   43   69 -67.66   -.52   .175  -.036  -.017
   43   70 -65.54   -.82   .164  -.045  -.013
   43   71 -61.42   -.89   .152  -.042  -.012
   43   72 -58.43   -.77   .148  -.040  -.010
   43   73 -53.78   -.71   .131  -.050  -.002
   43   74 -50.54   -.77   .115  -.045  -.003
   43   75 -45.66   -.88   .100  -.040  -.003
   43   76 -42.29  -1.22   .087  -.036   .000
   43   77 -37.32  -1.61   .071  -.032   .000
   43   78 -33.71  -2.09   .057  -.027   .002
   43   79 -28.70  -2.82   .043  -.024   .004
   43   80 -25.01  -3.59   .030  -.018   .005
   43   81 -19.94  -4.60   .015  -.007  0.000
   43   82 -16.26  -5.75   .004  0.000   .000
   43   83  -8.90  -4.79   .014   .009   .001
   43   84  -2.88  -3.94   .026   .016   .001
   43   85   4.50  -3.29   .038   .022   .001
   43   86  10.67  -2.62   .047   .020  -.007
   43   87  18.26  -2.06   .054   .010  -.012
   43   88  24.79  -1.34   .057  -.001  -.015
   43   89  32.72   -.74   .079   .030  -.004
   43   90  39.34   -.24   .084   .028  -.008
   43   91  47.44    .25   .091   .026  -.012
   43   92  54.21    .60   .102   .035  -.007
   43   93  62.38    .90   .110   .035  -.011
   43   94  69.29   1.11   .121   .039  -.010
   43   95  77.55   1.24   .128   .042  -.011
   43   96  84.57   1.29   .137   .043  -.014
   43   97  92.94   1.27   .143   .041  -.013
   43   98 100.14   1.24   .147   .037  -.017
   43   99 108.73   1.19   .150   .034  -.013
   43  100 116.05   1.04   .157   .031  -.021
   43  101 124.82    .94   .160   .024  -.024
   43  102 132.41    .81   .164   .017  -.028
   43  103 141.40    .71   .164   .010  -.026
   43  104 149.29    .64   .161  0.000  -.024
   43  105 158.50    .54   .162  -.005  -.026
   43  106 166.57    .43   .161  -.015  -.023
   43  107 176.03    .36   .162  -.022  -.024
   43  108 184.36    .30   .157  -.033  -.021
   43  109 194.04    .26   .156  -.039  -.017
   43  110 202.78    .39   .152  -.045  -.012
   43  111 212.95    .64   .151  -.049  -.009
   43  112 221.82    .70   .136  -.047  -.005
   43  113 232.02    .79   .127  -.046  -.003
   43  114 241.02    .78   .119  -.046  -.002
   43  115 251.25    .72   .110  -.045   .000
   43  116 260.43    .69   .103  -.048   .004
   43  117 270.80    .60   .094  -.044   .003
   44   36  10.83   -.04   .144  -.027  -.009
   44   37   2.42    .04   .138  -.043  -.004
   44   38  -8.30    .10   .149  -.040  -.001
   44   39 -15.80    .01   .128  -.034  -.001
   44   40 -25.71   -.24   .135  -.035  -.010
   44   41 -32.33   -.48   .142  -.023  -.011
   44   42 -41.37   -.90   .138  -.018  -.013
   44   43 -47.36  -1.46   .128  -.026  -.013
   44   44 -55.60  -2.07   .120  -.017  -.016
   44   45 -59.58  -2.34   .104  -.019  -.013
   44   46 -65.69  -2.55   .091  -.026  -.007
   44   47 -68.82  -2.79   .074  -.031   .001
   44   48 -74.29  -3.20   .049  -.028   .006
   44   49 -77.08  -3.86   .024  -.011   .003
   44   50 -82.39  -4.92   .006  0.000   .000
   44   51 -82.96  -4.08   .022   .015   .002
   44   52 -85.86  -3.47   .040   .017  -.004
   44   53 -85.97  -2.87   .057   .020  -.006
   44   54 -88.21  -2.32   .071   .020  -.004
   44   55 -87.78  -1.81   .082   .018  -.010
   44   56 -89.42  -1.35   .091   .010  -.011
   44   57 -88.40   -.87   .096   .003  -.010
   44   58 -89.54   -.54   .110  0.000  -.019
   44   59 -88.00   -.14   .113  -.006  -.016
   44   60 -88.54    .18   .119  -.010  -.019
   44   61 -86.55    .49   .124  -.016  -.020
   44   62 -86.59    .73   .134  -.013  -.014
   44   63 -84.25    .85   .162   .017  -.008
   44   64 -84.12    .70   .171   .014  -.012
   44   65 -81.58    .54   .175   .006  -.015
   44   66 -80.95    .36   .173  -.006  -.012
   44   67 -77.99    .13   .179  -.014  -.019
   44   68 -76.92   -.12   .173  -.027  -.011
   44   69 -73.57   -.41   .171  -.037  -.012
   44   70 -72.11   -.74   .157  -.039  -.014
   44   71 -68.28   -.99   .151  -.042  -.011
   44   72 -66.48  -1.44   .145  -.052  -.004
   44   73 -62.07  -1.53   .130  -.048  -.004
   44   74 -59.37  -1.51   .119  -.051   .000
   44   75 -54.52  -1.55   .099  -.039  -.003
   44   76 -51.76  -1.90   .090  -.042   .003
   44   77 -46.80  -2.22   .072  -.034   .000
   44   78 -43.78  -2.70   .060  -.037   .008
   44   79 -38.81  -3.37   .043  -.025   .004
   44   80 -35.69  -4.14   .030  -.018   .005
   44   81 -30.73  -5.18   .015  -.007  0.000
   44   82 -27.66  -6.36   .004  0.000   .000
   44   83 -20.31  -5.34   .014   .009  0.000
   44   84 -14.80  -4.44   .026   .015   .001
   44   85  -7.42  -3.71   .038   .023   .001
   44   86  -1.72  -2.95   .047   .019  -.006
   44   87   5.88  -2.32   .055   .012  -.014
   44   88  11.91  -1.56   .067   .026  -.005
   44   89  19.71  -1.02   .075   .022  -.008
   44   90  25.85   -.46   .081   .020  -.011
   44   91  33.85   -.01   .091   .020  -.012
   44   92  40.16    .42   .092   .012  -.014
   44   93  48.43    .87   .105   .023  -.011
   44   94  54.84   1.10   .116   .029  -.012
   44   95  63.08   1.26   .130   .044  -.010
   44   96  69.58   1.30   .137   .042  -.013
   44   97  77.93   1.32   .142   .040  -.013
   44   98  84.63   1.29   .148   .040  -.016
   44   99  93.15   1.24   .151   .035  -.015
   44  100 100.05   1.15   .157   .029  -.020
   44  101 108.79   1.07   .158   .023  -.022
   44  102 115.90    .95   .160   .016  -.023
   44  103 124.84    .84   .163   .010  -.026
   44  104 132.23    .76   .164   .001  -.027
   44  105 141.42    .68   .159  -.006  -.019
   44  106 149.01    .56   .161  -.014  -.022
   44  107 158.35    .43   .162  -.022  -.024
   44  108 166.27    .42   .158  -.031  -.019
   44  109 175.80    .26   .155  -.037  -.014
   44  110 183.95    .27   .152  -.045  -.012
   44  111 193.68    .11   .146  -.052  -.006
   44  112 202.06    .13   .137  -.048  -.005
   44  113 212.22    .22   .129  -.049  -.002
   44  114 220.87    .31   .121  -.049   .000
   44  115 231.10    .28   .116  -.054   .005
   44  116 239.88    .31   .103  -.046   .002
   44  117 250.20    .19   .094  -.044   .003
   44  118 258.94   -.03   .083  -.036   .004
   44  119 269.18   -.39   .070  -.030   .001
   45   37  13.58   -.32   .118  -.041   .000
   45   38   2.61   -.34   .109  -.028  -.004
   45   39  -5.71   -.44   .106  -.024  -.006
   45   40 -15.72   -.60   .103  -.023  -.008
   45   41 -23.20   -.89   .104  -.020  -.008
   45   42 -32.37  -1.27   .104  -.019  -.010
   45   43 -39.09  -1.76   .104  -.020  -.013
   45   44 -47.50  -2.38   .105  -.019  -.012
   45   45 -53.19  -3.06   .104  -.022  -.014
   45   46 -59.75  -3.26   .091  -.029  -.008
   45   47 -63.60  -3.45   .076  -.035   .001
   45   48 -69.14  -3.77   .050  -.030   .007
   45   49 -72.66  -4.41   .024  -.012   .004
   45   50 -78.12  -5.46   .006  0.000   .000
   45   51 -79.40  -4.59   .022   .013   .002
   45   52 -82.43  -3.97   .040   .017  -.004
   45   53 -83.27  -3.35   .055   .016  -.008
   45   54 -85.62  -2.77   .070   .013  -.009
   45   55 -85.77  -2.14   .075   .006  -.008
   45   56 -87.52  -1.63   .081  0.000  -.007
   45   57 -87.29  -1.24   .094  -.004  -.015
   45   58 -88.46   -.81   .100  -.011  -.015
   45   59 -87.60   -.38   .103  -.017  -.013
   45   60 -88.17    .03   .104  -.021  -.011
   45   61 -86.83    .37   .110  -.027  -.010
   45   62 -86.99    .61   .111  -.029  -.005
   45   63 -85.20    .86   .120  -.020  -.010
   45   64 -85.09    .82   .163   .011  -.004
   45   65 -83.19    .67   .166   .002  -.004
   45   66 -82.65    .52   .165  -.009  -.005
   45   67 -80.34    .28   .168  -.017  -.007
   45   68 -79.40    .03   .171  -.027  -.010
   45   69 -76.66   -.24   .168  -.038  -.010
   45   70 -75.30   -.55   .149  -.034  -.010
   45   71 -72.18   -.89   .148  -.043  -.007
   45   72 -70.55  -1.40   .139  -.048  -.004
   45   73 -67.23  -1.97   .125  -.051   .001
   45   74 -65.01  -2.32   .119  -.052   .000
   45   75 -60.76  -2.37   .102  -.044  0.000
   45   76 -58.08  -2.68   .088  -.040   .002
   45   77 -53.66  -2.96   .074  -.035   .003
   45   78 -50.76  -3.46   .063  -.033   .006
   45   79 -46.29  -4.05   .043  -.024   .003
   45   80 -43.29  -4.84   .030  -.019   .005
   45   81 -38.92  -5.89   .015  -.007   .000
   45   82 -35.94  -7.08   .004  0.000   .000
   45   83 -29.14  -6.05   .014   .009  0.000
   45   84 -23.69  -5.11   .026   .015   .001
   45   85 -16.80  -4.32   .038   .022  -.001
   45   86 -11.13  -3.51   .048   .022  -.003
   45   87  -4.01  -2.80   .056   .021  -.006
   45   88   1.93  -2.05   .063   .017  -.007
   45   89   9.27  -1.43   .072   .014  -.012
   45   90  15.48   -.72   .073   .008  -.009
   45   91  22.94   -.28   .084   .008  -.017
