#......................................................................../  092-235U   //  6.545571
#                                                                      INDEPENDENT MASS CHAIN YIELD
#  A  preY(A)     postY(A)    pg(A)       pn(A)       <Eg>(A)     <En>(A)
  69  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  70  0.0000e+00  1.7724e-07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  71  0.0000e+00  1.2634e-06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  72  1.8657e-06  4.3012e-06  2.1576e+00  8.0048e-01  1.0848e+00  1.5309e+00
  73  5.2683e-06  1.1625e-05  2.5363e+00  6.9746e-01  1.2325e+00  1.6129e+00
  74  1.3089e-05  2.5515e-05  2.6046e+00  7.1479e-01  1.1635e+00  1.5749e+00
  75  2.8238e-05  5.0391e-05  3.4834e+00  7.1093e-01  1.1189e+00  1.5763e+00
  76  6.1183e-05  1.2670e-04  3.2330e+00  7.1728e-01  1.2065e+00  1.8586e+00
  77  1.2431e-04  2.1416e-04  2.9383e+00  7.9059e-01  1.1268e+00  1.7615e+00
  78  2.4513e-04  4.0464e-04  3.7373e+00  7.9087e-01  9.0849e-01  1.6454e+00
  79  4.6337e-04  8.1444e-04  4.1885e+00  7.2586e-01  1.0295e+00  1.3762e+00
  80  8.4093e-04  1.4487e-03  3.6871e+00  7.4274e-01  1.0629e+00  1.5623e+00
  81  1.4689e-03  2.1456e-03  4.3190e+00  8.4472e-01  1.0313e+00  1.5278e+00
  82  2.4699e-03  4.1152e-03  3.8637e+00  7.7665e-01  1.0422e+00  1.4831e+00
  83  3.9945e-03  5.7586e-03  3.2969e+00  8.1261e-01  1.0167e+00  1.5311e+00
  84  6.2141e-03  1.1260e-02  3.8952e+00  7.9676e-01  1.1090e+00  1.4831e+00
  85  9.3040e-03  1.6366e-02  3.6688e+00  8.9558e-01  1.1740e+00  1.5047e+00
  86  1.3401e-02  1.9302e-02  2.8939e+00  1.1276e+00  1.1479e+00  1.7587e+00
  87  1.8571e-02  2.6296e-02  2.9550e+00  1.1538e+00  1.0070e+00  1.6517e+00
