#......................................................................../  092-235U   //  6.545571
#                                                                      INDEPENDENT MASS CHAIN YIELD
#  A  preY(A)     postY(A)    pg(A)       pn(A)       <Eg>(A)     <En>(A)
  88  2.4763e-02  3.4272e-02  2.6708e+00  1.1264e+00  9.8910e-01  1.6012e+00
  89  3.1768e-02  4.4007e-02  2.9686e+00  1.1643e+00  1.0391e+00  1.5192e+00
  90  3.9215e-02  4.9552e-02  3.7831e+00  1.1423e+00  9.6124e-01  1.3950e+00
  91  4.6578e-02  5.7900e-02  3.9688e+00  1.2709e+00  9.3820e-01  1.3324e+00
  92  5.3244e-02  5.6406e-02  3.7552e+00  1.3146e+00  9.1104e-01  1.3693e+00
  93  5.8605e-02  7.1618e-02  4.0549e+00  1.2711e+00  8.7223e-01  1.2695e+00
  94  6.2183e-02  6.6593e-02  3.9565e+00  1.3495e+00  9.2069e-01  1.3165e+00
  95  6.3762e-02  6.6165e-02  3.7500e+00  1.3861e+00  9.4026e-01  1.2892e+00
  96  6.3488e-02  6.2841e-02  4.2678e+00  1.4642e+00  8.8089e-01  1.2449e+00
  97  6.1868e-02  5.9453e-02  4.4145e+00  1.5741e+00  8.4491e-01  1.2234e+00
  98  5.9620e-02  5.7687e-02  4.2599e+00  1.5693e+00  7.9904e-01  1.2543e+00
  99  5.7371e-02  6.2734e-02  4.4908e+00  1.6020e+00  7.8330e-01  1.2647e+00
 100  5.5312e-02  5.1078e-02  4.8655e+00  1.6485e+00  7.6262e-01  1.2982e+00
 101  5.3018e-02  4.5739e-02  4.7943e+00  1.7345e+00  7.6722e-01  1.3169e+00
 102  4.9653e-02  3.7019e-02  4.5263e+00  1.9445e+00  7.7510e-01  1.4116e+00
 103  4.4480e-02  3.2048e-02  4.1492e+00  1.8760e+00  7.9278e-01  1.3963e+00
 104  3.7386e-02  2.2442e-02  3.9882e+00  1.8501e+00  8.1534e-01  1.4065e+00
 105  2.9068e-02  1.4656e-02  3.9748e+00  1.9145e+00  7.7106e-01  1.4125e+00
 106  2.0715e-02  9.1276e-03  3.9006e+00  1.9517e+00  7.6715e-01  1.4008e+00
 107  1.3473e-02  4.6606e-03  3.8866e+00  1.9614e+00  7.5358e-01  1.3729e+00
 108  8.0015e-03  2.4196e-03  3.9138e+00  2.0727e+00  7.2631e-01  1.4006e+00
 109  4.3630e-03  1.5940e-03  4.0826e+00  1.9811e+00  7.6948e-01  1.4125e+00
 110  2.2177e-03  6.1671e-04  3.9060e+00  2.0577e+00  7.3471e-01  1.3920e+00
 111  1.0817e-03  3.9625e-04  4.1874e+00  2.1210e+00  7.3073e-01  1.3385e+00
 112  5.3735e-04  2.0659e-04  4.3041e+00  2.2519e+00  7.5911e-01  1.3904e+00
 113  2.9613e-04  1.6033e-04  4.0376e+00  2.3960e+00  7.9590e-01  1.5022e+00
 114  1.9712e-04  1.2451e-04  3.9300e+00  2.6092e+00  7.7767e-01  1.5673e+00
 115  1.5827e-04  9.6392e-05  3.7462e+00  2.7038e+00  7.8364e-01  1.5915e+00
 116  1.4443e-04  6.0945e-05  3.8636e+00  2.7668e+00  7.8585e-01  1.5922e+00
 117  1.3966e-04  1.1937e-04  4.1801e+00  2.7052e+00  8.1846e-01  1.5864e+00
 118  1.3740e-04  1.1350e-04  3.9053e+00  2.1876e+00  8.9401e-01  1.5002e+00
 119  1.3966e-04  1.3785e-04  3.0898e+00  1.6078e+00  8.6492e-01  1.2934e+00
 120  1.4443e-04  1.4181e-04  3.5505e+00  1.4158e+00  9.8587e-01  1.3441e+00
 121  1.5827e-04  1.6418e-04  4.0526e+00  1.3222e+00  9.1536e-01  1.2922e+00
 122  1.9712e-04  2.5488e-04  4.9998e+00  1.0840e+00  9.3953e-01  1.2326e+00
 123  2.9613e-04  4.2799e-04  4.9610e+00  8.9788e-01  9.4323e-01  1.1456e+00
 124  5.3735e-04  9.2817e-04  4.0906e+00  7.3402e-01  1.1525e+00  1.1043e+00
 125  1.0817e-03  1.5978e-03  3.5674e+00  7.1973e-01  9.4796e-01  1.2420e+00
 126  2.2177e-03  3.2481e-03  3.9566e+00  5.8637e-01  1.0547e+00  1.1740e+00
 127  4.3630e-03  5.6317e-03  4.3357e+00  5.3557e-01  9.7521e-01  1.1811e+00
 128  8.0015e-03  1.0701e-02  3.5117e+00  4.5147e-01  1.1631e+00  1.1656e+00
 129  1.3473e-02  1.7136e-02  3.1329e+00  4.6762e-01  1.1691e+00  1.1324e+00
 130  2.0715e-02  2.1661e-02  3.0637e+00  4.8107e-01  9.5812e-01  1.1720e+00
 131  2.9068e-02  2.7591e-02  3.7543e+00  3.7510e-01  1.1011e+00  9.8396e-01
 132  3.7386e-02  4.4190e-02  4.3300e+00  2.5205e-01  1.0626e+00  1.1114e+00
 133  4.4480e-02  4.7304e-02  3.9323e+00  3.6287e-01  1.0950e+00  1.0327e+00
 134  4.9653e-02  7.0819e-02  4.6103e+00  3.6731e-01  9.6923e-01  1.1849e+00
 135  5.3018e-02  5.9285e-02  4.0618e+00  6.6561e-01  8.9029e-01  1.1333e+00
 136  5.5312e-02  5.3417e-02  3.6414e+00  8.1747e-01  8.2019e-01  1.2686e+00
 137  5.7371e-02  6.4605e-02  4.3790e+00  7.4732e-01  8.3792e-01  1.1706e+00
 138  5.9620e-02  6.7983e-02  3.9773e+00  8.2716e-01  8.0408e-01  1.1616e+00
 139  6.1868e-02  6.9206e-02  4.2227e+00  9.2885e-01  7.9644e-01  1.1412e+00
 140  6.3488e-02  6.3416e-02  4.4122e+00  9.7697e-01  6.7906e-01  1.2192e+00
 141  6.3762e-02  6.6023e-02  4.5507e+00  1.0505e+00  6.9272e-01  1.0716e+00
 142  6.2183e-02  5.1763e-02  4.3361e+00  1.1445e+00  6.7400e-01  1.1457e+00
 143  5.8605e-02  6.1603e-02  5.2026e+00  9.9231e-01  6.9204e-01  1.0707e+00
 144  5.3244e-02  5.0165e-02  5.0498e+00  1.1370e+00  6.8299e-01  1.0868e+00
 145  4.6578e-02  3.7903e-02  4.9863e+00  1.2832e+00  6.6728e-01  1.1053e+00
 146  3.9215e-02  2.5206e-02  4.7909e+00  1.3475e+00  6.0230e-01  1.1294e+00
 147  3.1768e-02  2.2384e-02  4.9934e+00  1.3798e+00  5.8260e-01  1.0775e+00
 148  2.4763e-02  1.9665e-02  5.7813e+00  1.2049e+00  6.1203e-01  1.0412e+00
 149  1.8571e-02  1.2262e-02  5.9051e+00  1.2468e+00  6.7921e-01  1.0497e+00
 150  1.3401e-02  9.9489e-03  5.6455e+00  1.3648e+00  7.4373e-01  1.0972e+00
 151  9.3040e-03  5.0069e-03  4.7470e+00  1.3983e+00  7.3717e-01  1.1583e+00
 152  6.2141e-03  3.5670e-03  3.8419e+00  1.5857e+00  8.1203e-01  1.1577e+00
 153  3.9945e-03  2.0326e-03  3.3134e+00  1.4967e+00  9.0649e-01  1.1281e+00
 154  2.4699e-03  8.9429e-04  3.7138e+00  1.6214e+00  8.2531e-01  1.1355e+00
 155  1.4689e-03  6.6160e-04  3.5889e+00  1.6863e+00  8.4907e-01  1.0767e+00
 156  8.4093e-04  4.2438e-04  4.0596e+00  1.5223e+00  8.3722e-01  1.0484e+00
 157  4.6337e-04  1.8448e-04  4.0820e+00  1.5004e+00  8.1326e-01  1.0682e+00
 158  2.4513e-04  8.8906e-05  3.5830e+00  1.6131e+00  8.2895e-01  1.0572e+00
 159  1.2431e-04  3.0632e-05  2.6132e+00  1.5368e+00  9.6631e-01  1.0181e+00
 160  6.1183e-05  3.5526e-05  4.0827e+00  1.3715e+00  1.0753e+00  1.0182e+00
 161  2.8238e-05  1.1701e-05  4.2839e+00  1.3410e+00  7.5275e-01  9.2978e-01
 162  1.3089e-05  3.6956e-06  3.7271e+00  1.4791e+00  7.7760e-01  9.5348e-01
 163  5.2683e-06  1.3557e-06  2.5415e+00  1.5269e+00  9.4936e-01  9.6222e-01
 164  1.8657e-06  1.9520e-07  3.5878e+00  1.2876e+00  8.6630e-01  9.2703e-01
 165  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
