# Ntotal = 207
#   n    k  Zl  Al  Zh  Ah  YieldL      YieldH      TKE[MeV]    TXE[MeV]    El[MeV]     Wl[MeV]     Eh[MeV]     Wh[MeV]
    1  247  28  72  64 164  1.8657e-06  1.8657e-06  1.4175e+02  2.1243e+01  8.9604e+00  3.3839e+00  1.2283e+01  4.6386e+00
    2  258  29  73  63 163  3.5844e-06  3.5844e-06  1.4291e+02  2.1704e+01  9.1370e+00  3.4039e+00  1.2567e+01  4.6817e+00
    3  259  30  73  62 163  1.6839e-06  1.6839e-06  1.4550e+02  1.9810e+01  8.6707e+00  3.6197e+00  1.1139e+01  4.6501e+00
    4  269  29  74  63 162  1.7570e-06  1.7570e-06  1.4409e+02  1.9598e+01  7.8658e+00  3.2496e+00  1.1732e+01  4.8470e+00
    5  270  30  74  62 162  1.1332e-05  1.1332e-05  1.4670e+02  2.2581e+01  9.9993e+00  3.6963e+00  1.2582e+01  4.6510e+00
    6  280  29  75  63 161  2.1339e-06  2.1339e-06  1.4528e+02  1.9980e+01  8.1893e+00  3.3559e+00  1.1790e+01  4.8316e+00
    7  281  30  75  62 161  2.6104e-05  2.6104e-05  1.4790e+02  2.0324e+01  8.7839e+00  3.6275e+00  1.1540e+01  4.7655e+00
    8  290  29  76  63 160  1.0605e-06  1.0605e-06  1.4384e+02  1.9605e+01  7.5098e+00  3.0721e+00  1.2095e+01  4.9480e+00
    9  291  30  76  62 160  5.2911e-05  5.2911e-05  1.4644e+02  2.5088e+01  1.0856e+01  3.5960e+00  1.4232e+01  4.7145e+00
   10  292  31  76  61 160  7.2108e-06  7.2108e-06  1.4888e+02  1.9408e+01  8.2267e+00  3.5724e+00  1.1182e+01  4.8556e+00
   11  302  30  77  62 159  6.3155e-05  6.3155e-05  1.4762e+02  2.2367e+01  9.3779e+00  3.4985e+00  1.2989e+01  4.8457e+00
   12  303  31  77  61 159  5.3648e-05  5.3648e-05  1.5008e+02  2.1456e+01  9.3267e+00  3.7038e+00  1.2130e+01  4.8169e+00
   13  304  32  77  60 159  7.5116e-06  7.5116e-06  1.5238e+02  1.7628e+01  7.9649e+00  3.9240e+00  9.6631e+00  4.7606e+00
   14  312  30  78  62 158  5.7496e-05  5.7496e-05  1.4635e+02  2.5376e+01  1.0610e+01  3.4573e+00  1.4765e+01  4.8112e+00
   15  313  31  78  61 158  1.1526e-04  1.1526e-04  1.4879e+02  2.2998e+01  9.5982e+00  3.5075e+00  1.3400e+01  4.8967e+00
   16  314  32  78  60 158  7.2366e-05  7.2366e-05  1.5107e+02  2.3838e+01  1.0847e+01  3.9195e+00  1.2992e+01  4.6946e+00
   17  323  30  79  62 157  2.0506e-05  2.0506e-05  1.4751e+02  2.1591e+01  8.6251e+00  3.3071e+00  1.2966e+01  4.9715e+00
   18  324  31  79  61 157  1.7809e-04  1.7809e-04  1.4997e+02  2.3867e+01  1.0094e+01  3.5884e+00  1.3773e+01  4.8963e+00
   19  325  32  79  60 157  2.5954e-04  2.5954e-04  1.5227e+02  2.2711e+01  1.0118e+01  3.8607e+00  1.2592e+01  4.8047e+00
   20  326  33  79  59 157  5.2260e-06  5.2260e-06  1.5441e+02  1.6758e+01  7.6457e+00  4.0176e+00  9.1118e+00  4.7880e+00
   21  334  30  80  62 156  5.2956e-06  5.2956e-06  1.4867e+02  2.1332e+01  8.4037e+00  3.2796e+00  1.2928e+01  5.0451e+00
   22  335  31  80  61 156  1.1856e-04  1.1856e-04  1.5115e+02  2.1230e+01  8.4879e+00  3.3916e+00  1.2742e+01  5.0915e+00
   23  336  32  80  60 156  6.8068e-04  6.8068e-04  1.5347e+02  2.5533e+01  1.1405e+01  3.9015e+00  1.4129e+01  4.8334e+00
   24  337  33  80  59 156  3.6383e-05  3.6383e-05  1.5563e+02  1.7149e+01  7.6014e+00  3.9234e+00  9.5473e+00  4.9277e+00
   25  345  31  81  61 155  8.5953e-05  8.5953e-05  1.5002e+02  2.3543e+01  9.3784e+00  3.3518e+00  1.4164e+01  5.0622e+00
