Ac227      6.53101
Ac228      5.02618
Ac229      6.27604
Ac230      4.92287
Ac231      6.14686
Ac232      4.67975
Ac233      5.91771
Ac234      4.53816
Ac235      5.55536
Ac236      4.20748
Ac237      5.27232
Am230      7.37974
Am231      8.53332
Am232      7.06132
Am233      8.20632
Am234      6.89432
Am235      7.90872
Am236      6.65492
Am237      7.54232
Am238      6.21990
Am239      7.10238
Am240      5.95157
Am241      6.64710
Am242      5.53764
Am243      6.36433
Am244      5.36719
Am245      6.05004
Am246      4.97774
Am247      5.91232
Am248      4.66132
Am249      5.53032
At197     10.51340
At198      8.42481
At199     10.18595
At200      8.23584
At201      9.87287
At202      7.87699
At203      9.63882
At204      7.78397
At205      9.18059
At206      7.52619
At207      8.85942
At208      7.31374
At209      8.48519
At210      7.15965
At211      7.74641
At218      4.36570
At219      5.77552
At220      4.09160
At221      5.66434
At222      3.90102
At223      5.59634
At224      3.78831
At225      5.48234
At226      3.71132
At227      5.30132
At228      3.62132
At229      5.06132
Au176      9.18860
Au177     11.09609
Au178      8.82862
Au179     10.75687
Au180      8.70840
Au181     10.31682
Au182      8.50416
Au183      9.95883
Au184      8.19855
Au185      9.61076
Au186      7.92803
Au187      9.38525
Au188      7.41386
Au189      9.28197
Au190      7.32290
Au191      9.03569
Au192      7.04560
Au193      8.70397
Au194      6.87844
Au195      8.42643
Au196      6.64298
Au197      8.07236
Au198      6.51236
Au199      7.58428
Au200      6.21766
Au201      7.23193
Au202      6.02360
Au203      6.86178
Au204      5.31788
Au205      6.25132
Au206      3.69132
Au207      4.52132
Au208      3.34132
Au209      4.39132
Au210      3.16132
Bh264      6.60932
Bh265      7.63432
Bh266      6.36232
Bh267      7.41032
Bh268      6.12932
Bh269      7.30132
Bh270      5.31832
Bh271      6.44232
Bh272      5.14332
Bh273      6.17532
Bh274      4.99232
Bh275      6.05332
Bi190      8.60256
Bi191     10.71477
Bi192      8.36651
Bi193     10.42135
Bi194      8.20978
Bi195     10.07387
Bi196      8.05479
Bi197      9.74949
Bi198      7.75798
Bi199      9.49509
Bi200      7.64428
Bi201      9.12975
Bi202      7.39317
Bi203      8.84536
Bi204      7.19236
Bi205      8.49096
Bi206      7.03395
Bi207      8.09768
Bi208      6.88692
Bi209      7.45976
Bi210      4.60464
Bi211      5.13853
Bi212      4.33015
Bi213      5.18505
Bi214      4.04043
Bi215      5.24127
Bi216      3.82661
Bi217      5.21535
Bi218      3.58525
Bi219      4.96736
Bi220      3.43132
Bi221      4.83132
Bi222      3.32132
Bi223      4.78132
Bk234      7.44732
Bk235      8.69632
Bk236      7.29932
Bk237      8.40332
Bk238      7.06532
Bk239      8.03732
Bk240      6.65732
Bk241      7.75432
Bk242      6.30032
Bk243      7.13369
Bk244      6.04713
Bk245      6.97137
Bk246      5.91819
Bk247      6.54871
Bk248      5.42979
Bk249      6.35604
Bk250      4.96565
Bk251      5.79535
Bk252      4.76430
Bk253      5.67732
Bk254      4.60732
Cf239      7.14732
Cf240      8.28460
Cf241      6.73304
Cf242      8.01134
Cf243      6.46830
Cf244      7.58323
Cf245      6.16427
Cf246      7.36625
Cf247      6.05216
Cf248      6.94276
Cf249      5.58654
Cf250      6.62372
Cf251      5.10668
Cf252      6.17169
Cf253      4.80437
